gonzaga,63.38,0.51,21.43,0.39,24.29,0.68,875,165,84,304,100,70
central-michigan,65.33,0.44,24.67,0.34,22.89,0.73,684,167,42,299,57.1,37.5
eastern-washington,65.82,0.47,27.41,0.34,18.82,0.67,659,141,62,266,60,55.6
duke,63.06,0.48,19.89,0.36,21.67,0.67,720,172,115,306,100,60
stephen-f-austin,59.94,0.5,16.72,0.35,24.39,0.68,668,191,53,407,57.1,50
alabama,64.06,0.44,29.41,0.36,23.24,0.72,704,108,75,245,100,60
citadel,65,0.45,30.12,0.35,18.94,0.7,651,129,41,261,100,35.7
dayton,58.89,0.52,23.44,0.37,18,0.72,637,121,67,274,100,75
wright-state,64.62,0.45,21.62,0.35,22.95,0.66,870,144,82,303,100,58.3
arizona,60,0.48,20.06,0.38,21.78,0.74,677,118,71,264,100,42.9
green-bay,64.65,0.46,22.1,0.38,18.55,0.74,706,153,54,304,14.3,70
florida-international,62.32,0.47,26.68,0.37,19.26,0.66,697,186,130,333,66.7,50
auburn,60.88,0.45,25.71,0.31,25.65,0.65,702,109,102,248,88.9,14.3
western-carolina,59.35,0.47,27.24,0.39,21.41,0.7,658,92,30,229,66.7,50
california-baptist,59.89,0.46,26.22,0.38,21.44,0.78,743,77,58,211,87.5,75
michigan-state,59.89,0.46,21.72,0.34,20.78,0.75,769,89,97,209,80,0
mcneese-state,56.5,0.51,21.56,0.42,19.06,0.71,628,131,82,272,60,70
iowa,61.61,0.46,22.94,0.36,20.89,0.74,698,120,65,237,83.3,50
penn-state,62.72,0.45,25.28,0.31,20,0.71,708,155,109,264,83.3,62.5
belmont,64.79,0.48,28.53,0.36,13.37,0.72,779,123,65,252,83.3,33.3
sam-houston-state,64.26,0.46,23.21,0.36,17.74,0.75,672,187,58,360,33.3,70
georgia,62.35,0.46,22.65,0.3,20.47,0.66,669,135,60,243,81.8,75
louisiana-state,60.71,0.48,20.88,0.32,19.59,0.76,683,111,80,225,45.5,66.7
new-mexico,56.9,0.49,18.6,0.33,24.45,0.72,731,159,63,296,80,33.3
coastal-carolina,61.95,0.45,22.35,0.36,21.8,0.69,830,168,66,299,45.5,50
santa-clara,57.95,0.47,21.6,0.35,20,0.76,696,136,81,308,80,70
buffalo,66.61,0.44,26,0.34,18.5,0.64,752,157,83,273,80,62.5
iowa-state,62.76,0.45,24.59,0.31,16.29,0.71,600,135,79,277,80,40
kent-state,62.44,0.46,25.44,0.36,16.83,0.73,660,131,79,264,80,33.3
houston-baptist,64.33,0.44,22.27,0.37,23.67,0.71,522,84,31,202,20,40
san-francisco,60.75,0.45,27.95,0.35,18.8,0.73,728,141,65,272,36.4,50
winthrop,64.56,0.46,27.56,0.35,21.83,0.62,740,123,40,279,77.8,28.6
kansas,57,0.5,18.59,0.36,19.76,0.66,659,139,76,239,77.8,50
utah-state,60.05,0.45,22.45,0.32,23.1,0.76,825,130,60,276,77.8,28.6
memphis,58.59,0.46,19.29,0.34,23.65,0.68,713,150,119,289,77.8,63.6
vanderbilt,55.94,0.45,25.06,0.35,22.94,0.67,567,121,69,245,77.8,60
western-kentucky,56.22,0.47,20.56,0.34,21.89,0.78,615,107,83,240,50,50
georgetown,61.32,0.46,17.89,0.36,21.53,0.76,755,120,87,271,75,57.1
long-island-university,61,0.45,29.5,0.34,19.67,0.71,623,130,66,257,66.7,54.5
michigan,61.41,0.48,24.35,0.36,14.59,0.72,604,95,82,204,75,30
georgia-state,63.05,0.45,22.8,0.4,18.7,0.71,740,179,89,349,66.7,70
illinois,59.67,0.46,18,0.31,21.11,0.72,739,91,57,234,75,33.3
oregon,59.37,0.47,21.68,0.38,17.74,0.67,704,137,61,241,75,44.4
boise-state,58.05,0.45,23.8,0.34,23.05,0.74,692,115,32,277,75,28.6
furman,58.35,0.48,27.1,0.36,16.1,0.7,645,157,56,314,75,27.3
creighton,59.84,0.46,24.58,0.37,17.74,0.73,686,119,42,231,75,33.3
utah,56.18,0.46,22.59,0.34,21.82,0.75,641,76,46,199,75,41.7
louisiana-tech,60.56,0.46,24.44,0.34,17.33,0.65,688,154,43,298,62.5,50
southern-methodist,58.59,0.46,23,0.33,18.59,0.77,673,111,60,210,54.5,66.7
st-johns-ny,66.32,0.41,19.53,0.29,22.11,0.69,761,204,86,344,75,33.3
pennsylvania,63,0.46,28.71,0.33,14.57,0.68,509,84,45,179,33.3,57.1
north-florida,60.7,0.44,31.6,0.38,16.2,0.76,714,105,62,246,60,90.9
saint-marys-ca,57.25,0.48,20.7,0.42,18.4,0.76,682,132,48,241,30,75
marquette,58.94,0.43,24.89,0.4,23.11,0.73,725,96,79,215,71.4,33.3
hofstra,59.8,0.45,22.1,0.34,20.45,0.77,718,141,39,274,71.4,25
east-tennessee-state,57.75,0.47,23.15,0.35,21.7,0.68,744,180,83,323,50,55.6
oregon-state,56.06,0.48,17.78,0.34,22.67,0.73,618,119,104,236,77.8,33.3
indiana,57.22,0.46,17.33,0.3,26.06,0.68,720,110,85,242,66.7,54.5
oral-roberts,63.95,0.44,25.53,0.33,19.26,0.74,748,122,45,254,66.7,40
portland-state,66.32,0.44,20,0.32,19.11,0.68,732,155,81,284,33.3,63.6
grambling,60.78,0.46,17,0.3,19.39,0.68,676,139,71,276,25,50
samford,60.85,0.45,19.4,0.34,20.3,0.7,754,140,61,304,66.7,54.5
