,0,1,2
0,north-carolina-central,100.0 ,40.0 
1,south-dakota-state,90.9 ,61.5 
2,austin-peay,88.9 ,50.0 
3,north-carolina-at,87.5 ,38.5 
4,iowa,81.8 ,42.9 
5,boise-state,81.8 ,40.0 
6,southern-illinois,81.8 ,33.3 
7,-universitymass,81.8 ,33.3 
8,north-texas,80.0 ,63.6 
9,belmont,80.0 ,38.5 
10,murray-state,80.0 ,44.4 
11,southern,80.0 ,58.3 
12,florida-am,80.0 ,50.0 
13,south-dakota,77.8 ,36.4 
14,eastern-kentucky,77.8 ,41.7 
15,south-carolina-upstate,77.8 ,46.2 
16,northern-colorado,75.0 ,55.6 
17,st-bonaventure,75.0 ,45.5 
18,central-arkansas,75.0 ,42.9 
19,charlotte,75.0 ,40.0 
20,north-florida,75.0 ,85.7 
21,davidson,75.0 ,33.3 
22,abilene-christian,75.0 ,45.5 
23,minnesota,75.0 ,33.3 
24,michigan-state,75.0 ,14.3 
25,valparaiso,75.0 ,40.0 
26,merrimack,75.0 ,57.1 
27,seton-hall,72.7 ,66.7 
28,arkansas-little-rock,72.7 ,66.7 
29,utah,72.7 ,28.6 
30,stanford,71.4 ,50.0 
31,north-hampshire,71.4 ,58.3 
32,rutgers,71.4 ,80.0 
33,texas-pan-american,71.4 ,36.4 
34,yale,71.4 ,72.7 
35,northwestern-state,71.4 ,66.7 
36,northern-iowa,70.0 ,77.8 
37,arkansas-state,69.2 ,70.0 
38,california,69.2 ,14.3 
39,marquette,69.2 ,57.1 
40,arizona,69.2 ,50.0 
41,bradley,69.2 ,33.3 
42,penn-state,69.2 ,57.1 
43,purdue,66.7 ,25.0 
44,ball-state,66.7 ,44.4 
45,mount-st-marys,66.7 ,50.0 
46,saint-fran-ny,66.7 ,38.5 
47,central-michigan,66.7 ,44.4 
48,oral-roberts,66.7 ,53.8 
49,hofstra,66.7 ,69.2 
50,uc-riverside,66.7 ,53.8 
51,fairfield,66.7 ,45.5 
52,vermont,66.7 ,50.0 
53,georgia-southern,66.7 ,50.0 
54,-pennsylvania,66.7 ,66.7 
55,ohio-state,66.7 ,37.5 
56,brigham-young,66.7 ,50.0 
57,wm-mary,66.7 ,53.3 
58,southcarolinastate,66.7 ,30.8 
59,norfolk-state,66.7 ,50.0 
60,montana,66.7 ,30.8 
61,florida-international,66.7 ,54.5 
62,cornell,66.7 ,36.4 
63,west-virginia,66.7 ,37.5 
64,oregon-state,66.7 ,37.5 
65,indiana-state,66.7 ,33.3 
66,st-francis-ny,64.3 ,40.0 
67,alabama,63.6 ,75.0 
68,drake,63.6 ,33.3 
69,quinnipiac,63.6 ,44.4 
70,la-salle,63.6 ,62.5 
71,old-dominion,63.6 ,66.7 
72,connecticut,63.6 ,50.0 
73,cincinnati,63.6 ,37.5 
74,stony-brook,62.5 ,61.5 
75,niagara,62.5 ,46.7 
76,western-michigan,62.5 ,50.0 
77,sacramento-state,62.5 ,54.5 
78,hampton,62.5 ,27.3 
79,uc-irvine,62.5 ,41.7 
80,robert-morris,62.5 ,60.0 
81,texas-san-ant,62.5 ,40.0 
82,eastern-washington,62.5 ,58.3 
83,princeton,62.5 ,42.9 
84,cal-poly,62.5 ,63.6 
85,stetson,62.5 ,61.5 
86,loyola-md,62.5 ,46.2 
87,nevada,61.5 ,37.5 
88,california-baptist,61.5 ,85.7 
89,tulsa,61.5 ,55.6 
90,maryland,61.5 ,50.0 
91,iowa-state,61.5 ,28.6 
92,cleveland-state,60.0 ,36.4 
93,unlv,60.0 ,33.3 
94,elon,60.0 ,58.3 
95,morehead-state,60.0 ,46.2 
96,brown,60.0 ,16.7 
97,miami-fl,60.0 ,44.4 
98,bethune-cookman,60.0 ,42.9 
99,santa-clara,60.0 ,37.5 
100,siena,60.0 ,27.3 
101,saint-peters,60.0 ,75.0 
102,colgate,60.0 ,38.5 
103,lafayette,60.0 ,81.8 
104,maryland-eastern-shore,60.0 ,52.9 
105,louisiana-tech,60.0 ,41.7 
106,memphis,60.0 ,50.0 
107,north-kentucky,60.0 ,69.2 
108,liu,60.0 ,50.0 
109,loyola-il,58.3 ,28.6 
110,southern-methodist,58.3 ,55.6 
111,oregon,58.3 ,37.5 
112,mississippi,58.3 ,42.9 
113,south-florida,58.3 ,50.0 
114,missouri,58.3 ,25.0 
115,richmond,58.3 ,50.0 
116,butler,58.3 ,50.0 
117,youngstown-state,58.3 ,40.0 
118,utah-state,58.3 ,14.3 
119,eastern-michigan,57.1 ,50.0 
120,washington-state,57.1 ,0.0 
121,weber-state,57.1 ,33.3 
122,gonzaga,57.1 ,66.7 
123,alabama-am,57.1 ,69.2 
124,arkansas,57.1 ,50.0 
125,north-alabama,55.6 ,58.3 
126,mcneese-state,55.6 ,63.6 
127,delaware-state,55.6 ,20.0 
128,rice,55.6 ,36.4 
129,western-carolina,55.6 ,58.3 
130,boston-university,55.6 ,53.8 
131,monmouth,55.6 ,50.0 
132,wofford,55.6 ,33.3 
133,binghamton,55.6 ,27.3 
134,troy,55.6 ,38.5 
135,charleston-southern,55.6 ,50.0 
136,maine,55.6 ,42.9 
137,manhattan,55.6 ,50.0 
138,seattle,55.6 ,40.0 
139,rider,55.6 ,25.0 
140,detroit-mercy,55.6 ,38.5 
141,tnorth-state,55.6 ,54.5 
142,georgia-tech,54.5 ,70.0 
143,navy,54.5 ,63.6 
144,denver,54.5 ,54.5 
145,wisconsin,54.5 ,37.5 
146,duquesne,54.5 ,40.0 
147,hartford,54.5 ,75.0 
148,western-kentucky,54.5 ,37.5 
149,neb-omaha,54.5 ,27.3 
150,east-carolina,53.8 ,37.5 
151,south-carolina,53.8 ,75.0 
152,houston,53.8 ,50.0 
153,notre-dame,53.8 ,57.1 
154,ucla,53.8 ,42.9 
155,mississippi-state,53.8 ,66.7 
156,creighton,53.8 ,50.0 
157,dayton,53.8 ,40.0 
158,georgia,53.8 ,50.0 
159,george-washington,53.8 ,37.5 
160,louisville,53.3 ,66.7 
161,indiana,53.3 ,16.7 
162,ipfw,50.0 ,38.5 
163,wright-state,50.0 ,44.4 
164,kennesaw-state,50.0 ,23.1 
165,kansas-state,50.0 ,57.1 
166,saint-francis-pa,50.0 ,83.3 
167,prairie-view,50.0 ,71.4 
168,bucknell,50.0 ,16.7 
169,duke,50.0 ,50.0 
170,chattanooga,50.0 ,66.7 
171,illinois,50.0 ,62.5 
172,uc-davis,50.0 ,78.6 
173,clemson,50.0 ,42.9 
174,michigan,50.0 ,16.7 
175,villanova,50.0 ,50.0 
176,arizona-state,50.0 ,57.1 
177,new-mexico,50.0 ,37.5 
178,eastern-illinois,50.0 ,38.5 
179,southeastern-missouri,50.0 ,23.1 
180,san-jose-state,50.0 ,40.0 
181,wichita-state,50.0 ,40.0 
182,drexel,50.0 ,30.0 
183,wake-forest,50.0 ,44.4 
184,north-dakota-state,50.0 ,58.3 
185,delaware,50.0 ,55.6 
186,providence,50.0 ,50.0 
187,saint-josephs,50.0 ,30.0 
188,presbyterian,50.0 ,46.2 
189,stephen-f-austin,50.0 ,60.0 
190,alabama-state,50.0 ,50.0 
191,mercer,50.0 ,60.0 
192,texas-el-paso,50.0 ,44.4 
193,kent-state,50.0 ,55.6 
194,florida-atlantic,50.0 ,40.0 
195,towson,50.0 ,66.7 
196,campbell,50.0 ,58.3 
197,north-carolina-wilmgton,50.0 ,30.0 
198,north-carolina-greensboro,50.0 ,60.0 
199,georgia-state,50.0 ,69.2 
200,maryland-bc,50.0 ,36.4 
201,cal-state-nrdge,50.0 ,50.0 
202,missouri-kansas-city,50.0 ,50.0 
203,vanderbilt,46.7 ,66.7 
204,hawaii,46.7 ,33.3 
205,pittsburgh,46.7 ,42.9 
206,georgetown,46.7 ,42.9 
207,saint-louis,46.2 ,42.9 
208,auburn,46.2 ,33.3 
209,colorado,46.2 ,50.0 
210,texas-tech,46.2 ,50.0 
211,george-mason,46.2 ,16.7 
212,louisiana-state,46.2 ,66.7 
213,louisiana-monroe,45.5 ,22.2 
214,temple,45.5 ,25.0 
215,california-santa-barbara,45.5 ,60.0 
216,illinois-state,45.5 ,11.1 
217,san-diego,45.5 ,44.4 
218,baylor,45.5 ,83.3 
219,akron,45.5 ,87.5 
220,air-force,45.5 ,44.4 
221,lafayette,45.5 ,40.0 
222,northern-illinois,45.5 ,58.3 
223,east-tennessee-state,45.5 ,63.6 
224,bryant,45.5 ,50.0 
225,furman,44.4 ,66.7 
226,marist,44.4 ,58.3 
227,longwood,44.4 ,30.8 
228,incarnate-word,44.4 ,36.4 
229,army,44.4 ,53.8 
230,middle-tennessee,44.4 ,50.0 
231,canisius,44.4 ,60.0 
232,depaul,42.9 ,66.7 
233,idaho,42.9 ,60.0 
234,san-francisco,42.9 ,44.4 
235,tnorth-martin,42.9 ,27.3 
236,virginia-commonwealth,42.9 ,42.9 
237,jacksonville,42.9 ,58.3 
238,washington,42.9 ,16.7 
239,kentucky,42.9 ,66.7 
240,virginia-tech,42.9 ,42.9 
241,portland-state,42.9 ,57.1 
242,coastal-carolina,42.9 ,50.0 
243,boston-college,42.9 ,55.6 
244,montana-state,42.9 ,63.6 
245,north-carolina-state,42.9 ,62.5 
246,colorado-state,41.7 ,62.5 
247,loyola-marymount,41.7 ,50.0 
248,rhode-island,41.7 ,77.8 
249,missouri-state,41.7 ,70.0 
250,florida-state,41.7 ,50.0 
251,il-chicago,41.7 ,72.7 
252,holy-cross,40.0 ,50.0 
253,texas-southern,40.0 ,50.0 
254,harvard,40.0 ,36.4 
255,american,40.0 ,41.7 
256,chicago-state,40.0 ,30.0 
257,ohio,40.0 ,62.5 
258,buffalo,40.0 ,57.1 
259,arkansas-pine-bluff,40.0 ,53.3 
260,milwaukee,40.0 ,44.4 
261,tulane,40.0 ,71.4 
262,winthrop,40.0 ,92.3 
263,grand-canyon,40.0 ,37.5 
264,saint-marys-ca,38.5 ,71.4 
265,marshall,38.5 ,60.0 
266,long-beach-state,37.5 ,36.4 
267,lamar,37.5 ,46.2 
268,southern-mississippi,37.5 ,54.5 
269,texas-arlington,37.5 ,50.0 
270,northern-arizona,37.5 ,54.5 
271,samford,37.5 ,14.3 
272,idaho-state,37.5 ,72.7 
273,coppin-state,37.5 ,58.8 
274,sam-houston-state,37.5 ,58.3 
275,liberty,37.5 ,44.4 
276,citadel,37.5 ,72.7 
277,lipscomb,37.5 ,35.7 
278,texas-state,36.4 ,41.7 
279,usc,36.4 ,88.9 
280,san-diego-state,36.4 ,88.9 
281,college-of-charleston,36.4 ,77.8 
282,oklahoma,36.4 ,37.5 
283,howard,36.4 ,50.0 
284,kansas,36.4 ,75.0 
285,james-madison,36.4 ,33.3 
286,wyoming,35.7 ,75.0 
287,texas-christian,35.7 ,16.7 
288,portland,33.3 ,57.1 
289,syracuse,33.3 ,83.3 
290,wagner,33.3 ,16.7 
291,nebraska,33.3 ,62.5 
292,north-dakota,33.3 ,21.4 
293,florida-gulf-coast,33.3 ,41.7 
294,jacksonville-state,33.3 ,58.3 
295,north-carolina-asheville,33.3 ,54.5 
296,appalachian-state,33.3 ,72.7 
297,alabama-birmingham,33.3 ,55.6 
298,jackson-state,33.3 ,46.7 
299,nicholls-state,33.3 ,75.0 
300,texas-am-corpus-christi,33.3 ,46.2 
301,south-alabama,33.3 ,50.0 
302,texas-am,33.3 ,66.7 
303,louisiana-tech,33.3 ,41.7 
304,si-universityedward,33.3 ,35.7 
305,virginia-military,33.3 ,60.0 
306,njit,33.3 ,36.4 
307,virginia,30.8 ,42.9 
308,tennessee,30.8 ,57.1 
309,texas,30.8 ,57.1 
310,xavier,30.8 ,42.9 
311,high-point,30.0 ,41.7 
312,albany-ny,30.0 ,60.0 
313,miami-oh,30.0 ,25.0 
314,western-illinois,30.0 ,66.7 
315,evansville,30.0 ,50.0 
316,sacred-heart,28.6 ,57.1 
317,fordham,28.6 ,60.0 
318,oakland,28.6 ,66.7 
319,pacific,28.6 ,55.6 
320,new-mexico-state,28.6 ,30.0 
321,fairleigh-dickinson,28.6 ,42.9 
322,morgan-state,28.6 ,50.0 
323,southeastern-louisiana,28.6 ,46.2 
324,columbia,28.6 ,27.3 
325,pepperdine,27.3 ,54.5 
326,florida,27.3 ,28.6 
327,grambling,25.0 ,46.2 
328,oklahoma-state,25.0 ,50.0 
329,central-connecticut-state,25.0 ,61.5 
330,lehigh,25.0 ,35.7 
331,alcorn-state,25.0 ,53.8 
332,north-carolina,25.0 ,57.1 
333,houston-baptist,25.0 ,41.7 
334,northwestern,25.0 ,62.5 
335,central-florida,25.0 ,75.0 
336,massachusetts,23.1 ,40.0 
337,northeastrn,22.2 ,58.3 
338,cal-state-bakersfield,22.2 ,45.5 
339,cal-state-fullerton,22.2 ,50.0 
340,green-bay,22.2 ,64.3 
341,fresno-state,22.2 ,58.3 
342,iupui,22.2 ,38.5 
343,dartmouth,20.0 ,50.0 
344,south-universitytah,20.0 ,70.0 
345,iona,16.7 ,33.3 
346,gardner-webb,16.7 ,53.8 
347,mississippi-valley-state,16.7 ,50.0 
348,new-orleans,14.3 ,58.3 
349,radford,14.3 ,60.0 
350,bowling-green-state,12.5 ,66.7 
351,toledo,10.0 ,41.7 
352,utah-valley,0.0 ,50.0 
