,0,1,2,3,4,5,6,7,8,9,10,11
0,gonzaga,26,61.96153846153846,.517,20.153846153846153,.391,24.307692307692307,.682,1051,207,107,369
1,central-michigan,22,64.86363636363636,.441,24.0,.335,22.136363636363637,.745,820,206,56,368
2,eastern-washington,23,64.30434782608695,.462,26.652173913043477,.354,18.82608695652174,.674,891,174,93,341
3,duke,23,63.30434782608695,.481,19.956521739130434,.349,21.956521739130434,.697,917,204,136,373
4,stephen-f-austin,24,58.125,.492,15.916666666666666,.372,25.041666666666668,.694,876,253,72,531
5,alabama,23,62.869565217391305,.445,29.217391304347824,.348,23.17391304347826,.709,930,147,108,319
6,citadel,23,61.65217391304348,.439,28.565217391304348,.329,19.782608695652176,.686,828,163,60,331
7,dayton,23,57.17391304347826,.524,22.956521739130434,.371,18.217391304347824,.726,799,147,85,325
8,wright-state,26,63.88461538461539,.459,21.26923076923077,.371,22.692307692307693,.673,1056,168,95,366
9,arizona,23,60.130434782608695,.460,20.434782608695652,.360,21.956521739130434,.735,870,153,86,332
10,green-bay,26,64.1923076923077,.455,21.5,.370,19.53846153846154,.744,935,186,77,386
11,florida-international,25,61.68,.462,25.76,.362,18.6,.656,911,233,163,416
12,auburn,23,60.73913043478261,.437,26.956521739130434,.316,26.565217391304348,.674,955,140,120,315
13,western-carolina,23,58.30434782608695,.468,26.869565217391305,.374,20.52173913043478,.697,880,120,40,290
14,california-baptist,24,60.166666666666664,.446,25.75,.375,21.25,.771,978,97,87,269
15,michigan-state,24,59.416666666666664,.453,22.083333333333332,.345,19.0,.761,994,125,129,272
16,mcneese-state,24,57.333333333333336,.504,21.375,.407,19.75,.719,870,169,101,352
17,iowa,24,61.208333333333336,.451,23.25,.351,21.041666666666668,.747,916,157,87,299
18,penn-state,23,62.47826086956522,.445,24.17391304347826,.326,19.91304347826087,.686,902,191,123,329
19,belmont,25,63.64,.474,28.52,.355,14.2,.718,957,183,80,350
20,sam-houston-state,24,63.166666666666664,.458,22.625,.354,19.0,.763,826,226,74,448
21,georgia,23,61.73913043478261,.451,23.08695652173913,.305,20.347826086956523,.690,886,176,79,321
22,louisiana-state,23,60.43478260869565,.479,20.043478260869566,.310,21.47826086956522,.769,922,149,96,288
23,new-mexico,25,57.88,.485,19.68,.339,23.36,.719,894,199,72,366
24,coastal-carolina,25,61.44,.445,22.56,.335,22.24,.707,1006,196,76,360
25,santa-clara,25,58.8,.469,21.92,.363,19.32,.737,878,174,91,376
26,buffalo,24,66.70833333333333,.437,25.291666666666668,.318,17.875,.653,1022,198,114,356
27,iowa-state,23,61.08695652173913,.441,23.347826086956523,.315,17.217391304347824,.742,805,185,104,359
28,kent-state,24,61.083333333333336,.450,24.75,.347,16.958333333333332,.722,874,174,107,344
29,houston-baptist,21,63.80952380952381,.439,21.61904761904762,.363,24.61904761904762,.723,769,113,47,277
30,san-francisco,26,60.07692307692308,.446,26.923076923076923,.339,18.346153846153847,.727,933,179,84,341
31,winthrop,25,62.56,.460,26.76,.342,21.84,.636,1024,174,61,390
32,kansas,23,56.95652173913044,.486,18.695652173913043,.344,19.91304347826087,.664,895,183,117,310
33,utah-state,26,58.23076923076923,.452,22.0,.322,22.03846153846154,.773,1053,162,84,339
34,memphis,23,56.91304347826087,.456,19.47826086956522,.344,22.26086956521739,.680,915,189,148,369
35,vanderbilt,23,56.130434782608695,.433,25.391304347826086,.327,22.91304347826087,.687,756,166,84,325
36,western-kentucky,24,56.5,.462,20.541666666666668,.333,21.666666666666668,.787,807,154,102,331
37,georgetown,24,61.416666666666664,.442,18.291666666666668,.339,21.041666666666668,.772,954,152,106,335
38,long-island-university,24,59.5,.445,28.5,.336,19.375,.705,826,161,86,336
39,michigan,23,60.78260869565217,.459,24.391304347826086,.348,15.782608695652174,.713,845,127,109,264
40,georgia-state,25,63.28,.442,23.36,.370,19.36,.736,937,210,104,418
41,illinois,23,59.08695652173913,.452,17.82608695652174,.315,20.26086956521739,.732,928,107,66,277
42,oregon,24,59.291666666666664,.467,21.541666666666668,.383,17.625,.690,863,190,73,320
43,boise-state,25,57.84,.456,24.4,.352,22.04,.746,853,144,36,353
44,furman,25,58.56,.482,27.48,.358,17.16,.683,804,203,71,405
45,creighton,24,59.083333333333336,.466,24.916666666666668,.373,17.708333333333332,.729,843,147,54,289
46,utah,23,55.69565217391305,.448,21.782608695652176,.329,20.652173913043477,.741,848,126,66,287
47,louisiana-tech,24,58.666666666666664,.465,23.791666666666668,.357,17.208333333333332,.663,891,184,57,364
48,southern-methodist,22,58.45454545454545,.459,24.681818181818183,.348,17.863636363636363,.763,848,130,71,266
49,st-johns-ny,24,66.33333333333333,.411,20.958333333333332,.304,19.833333333333332,.710,951,240,102,407
50,pennsylvania,19,60.578947368421055,.461,26.36842105263158,.321,15.789473684210526,.677,701,110,63,228
