,0,1
0,Baylor,Texas
1,Florida State,Duke
2,Alabama A&M,Mississippi Valley State
3,Alabama State,Arkansas-Pine Bluff
4,Alcorn State,Grambling
5,Campbell,Longwood
6,Charleston Southern,USC Upstate
7,Colgate,Boston University
8,Delaware State,South Carolina State
9,High Point,Gardner-Webb
10,Howard,Bethune-Cookman
11,Maryland-Eastern Shore,Coppin State
12,UNC Asheville,Hampton
13,North Carolina A&T,Florida A&M
14,North Carolina Central,Morgan State
15,Portland State,Northern Colorado
16,Radford,Winthrop
17,Southern,Jackson State
18,TCU,Texas Tech
