,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,YourScore,OppScore,FGA,FGP,3PA,3PP,FTA,FTP,TRB,STL,BLK,TOV,OppFGA,OppFGP,Opp3PA,Opp3PP,OppFTA,OppFTP,OppTRB,OppSTL,OppBLK,OppTOV,NAN!,NAN!,NAN!,NAN!
1,gonzaga,95,Alabama-State,64,59,.576,20,.500,27,.630,31,11,3,8,100.00,49,.490,16,.563,12,.583,19,3,1,20,0
2,gonzaga,110,Arkansas-Pine-Bluff,60,56,.625,23,.391,39,.795,41,9,4,12,100.00,56,.411,10,.200,18,.667,19,6,1,16,0
3,North-Dakota,66,gonzaga,97,72,.347,31,.226,11,.818,27,6,0,5,0,71,.577,16,.438,14,.571,50,1,8,10,100.00
4,Texas-AM,49,gonzaga,79,56,.304,20,.150,16,.750,24,9,5,18,1,63,.492,19,.368,15,.667,42,10,6,15,40.00
5,Texas-Arlington,66,gonzaga,72,53,.396,26,.423,17,.765,31,4,5,9,0,64,.391,22,.227,30,.567,44,7,1,6,100.00
6,gonzaga,77,Cal-State-Bakersfield,49,49,.449,23,.348,39,.641,24,11,5,10,100.00,50,.400,10,.300,9,.667,30,6,0,23,0
7,gonzaga,94,Southern-Miss,69,59,.576,19,.684,20,.650,35,4,4,15,40.00,62,.435,22,.500,6,.667,24,7,1,13,1
8,gonzaga,73,Oregon,72,62,.387,28,.321,20,.800,45,3,4,12,40.00,80,.338,28,.286,14,.714,41,9,6,6,1
9,gonzaga,64,Michigan,82,65,.400,12,.500,13,.462,35,6,1,12,40.00,63,.540,23,.522,5,.400,35,5,6,11,1
10,gonzaga,101,Texas-Southern,62,78,.538,27,.296,16,.563,48,9,4,11,100.00,58,.397,20,.250,17,.647,31,6,3,16,0
11,Washington,76,gonzaga,83,55,.509,23,.391,14,.786,28,6,6,18,1,69,.478,21,.286,14,.786,33,12,1,11,40.00
12,gonzaga,84,Arizona,80,61,.475,23,.391,30,.567,40,3,5,10,40.00,78,.385,30,.267,13,.923,40,4,2,6,1
13,UNC,81,gonzaga,94,68,.456,19,.368,17,.706,32,11,4,11,0,59,.593,18,.500,22,.682,27,8,4,11,100.00
14,gonzaga,112,Eastern-Washington,77,73,.479,30,.400,40,.750,47,11,3,11,100.00,65,.446,20,.300,22,.591,30,6,2,18,0
15,gonzaga,93,Detroit,72,65,.508,23,.435,24,.708,39,7,4,8,100.00,64,.422,28,.321,12,.750,29,3,6,13,0
16,Portland,72,gonzaga,85,56,.518,13,.615,10,.600,28,4,5,12,1,65,.508,25,.320,23,.478,33,5,6,4,40.00
17,gonzaga,75,Pepperdine,70,57,.491,18,.278,21,.667,34,11,3,16,100.00,64,.438,20,.350,9,.778,29,7,3,15,0
18,gonzaga,94,San-Diego,50,74,.486,19,.421,19,.737,47,12,6,12,40.00,61,.328,16,.188,12,.583,27,3,2,17,1
19,gonzaga,87,Loyola-Marymount,62,59,.525,22,.364,27,.630,39,3,3,9,40.00,57,.386,26,.269,17,.647,23,5,3,11,1
20,Santa-Clara,54,gonzaga,104,69,.304,25,.120,19,.474,32,6,2,14,0,66,.515,21,.381,32,.875,46,11,7,10,100.00
21,Michigan-Dearborn,62,central-michigan,102,57,.421,24,.375,7,.714,27,1,1,23,0,68,.529,27,.444,26,.692,31,18,1,3,90.90
22,Mississippi-Valley-State,78,central-michigan,134,73,.411,32,.250,16,.625,34,0,4,23,0,93,.505,37,.351,37,.730,56,16,1,6,90.90
23,Sam-Houston-State,77,central-michigan,84,64,.438,20,.400,18,.722,34,12,2,17,0,58,.379,25,.280,46,.717,42,8,4,15,90.90
24,central-michigan,115,Siena-Heights,58,75,.573,32,.531,19,.632,39,13,2,8,90.90,58,.397,23,.261,10,.600,23,4,5,23,0
25,central-michigan,57,Minnesota,82,66,.333,22,.227,10,.800,33,10,0,13,61.50,63,.508,30,.467,7,.571,38,7,6,16,1
26,Trinity-Christian,60,central-michigan,106,65,.369,31,.226,6,.833,29,8,2,23,0,79,.532,23,.174,24,.750,46,13,4,12,90.90
27,DePaul,88,central-michigan,75,70,.486,24,.292,19,.684,43,11,5,14,1,68,.382,24,.292,21,.762,30,7,2,13,61.50
28,central-michigan,88,Youngstown-State,72,67,.448,29,.379,21,.810,39,7,4,11,90.90,65,.415,27,.370,13,.615,35,3,2,12,0
29,central-michigan,84,UT-Martin,75,50,.480,20,.550,30,.833,31,5,0,7,90.90,59,.475,26,.423,10,.800,28,4,2,10,0
30,central-michigan,55,Valparaiso,77,62,.339,17,.059,21,.571,33,9,1,15,61.50,61,.508,22,.318,13,.615,36,10,5,16,1
31,Texas,87,central-michigan,76,53,.509,25,.560,31,.613,38,5,2,21,1,59,.458,23,.391,21,.619,21,10,1,19,61.50
32,central-michigan,79,Robert-Morris,83,57,.474,25,.360,22,.727,32,7,1,16,61.50,59,.475,31,.387,21,.714,30,8,2,14,1
33,Purdue,97,central-michigan,62,68,.544,32,.438,11,.818,36,11,4,15,1,58,.379,22,.136,19,.789,27,6,4,22,61.50
34,Miami-(OH),82,central-michigan,93,61,.508,25,.520,8,.875,28,5,3,17,0,66,.485,29,.517,19,.737,32,11,3,10,90.90
35,central-michigan,68,Northern-Illinois,67,54,.444,22,.227,20,.750,32,9,4,15,90.90,58,.466,13,.231,14,.714,31,7,1,13,0
36,Kent-State,79,central-michigan,73,59,.458,21,.429,24,.667,40,6,3,14,1,64,.406,22,.364,20,.650,32,7,3,12,61.50
37,Toledo,67,central-michigan,74,61,.377,31,.355,10,1.000,32,3,7,10,1,59,.441,23,.304,20,.750,39,4,2,10,61.50
38,central-michigan,67,Buffalo,86,73,.342,22,.227,16,.750,41,7,5,16,90.90,73,.452,25,.400,12,.833,45,9,8,14,0
39,central-michigan,71,Ball-State,66,63,.397,17,.294,21,.762,28,18,4,16,90.90,49,.449,19,.263,25,.680,37,6,7,28,0
40,Western-Michigan,78,central-michigan,85,59,.441,26,.423,23,.652,31,3,1,12,1,59,.508,13,.385,23,.870,35,5,5,7,61.50
41,Portland-Bible,25,eastern-washington,107,49,.143,14,.143,11,.818,31,2,0,31,0,78,.551,30,.467,9,.778,40,23,8,6,88.90
42,Seattle,66,eastern-washington,74,68,.353,17,.176,22,.682,37,10,0,10,1,59,.390,31,.194,32,.688,44,2,5,15,50.00
43,Saint-Louis,82,eastern-washington,60,54,.574,21,.381,28,.429,41,11,6,18,1,63,.302,26,.346,18,.722,36,8,1,18,50.00
44,eastern-washington,68,Boston-College,72,69,.377,38,.342,6,.500,34,8,1,15,50.00,57,.404,19,.368,26,.731,40,10,4,14,1
45,High-Point,74,eastern-washington,90,61,.328,17,.176,37,.838,43,6,6,16,1,58,.466,32,.469,29,.724,32,10,4,15,50.00
46,eastern-washington,87,Belmont,82,63,.508,27,.370,17,.765,32,8,2,13,88.90,64,.531,24,.375,8,.625,33,7,4,17,0
47,eastern-washington,80,Washington,90,67,.433,32,.313,22,.545,31,5,1,17,50.00,58,.466,21,.333,36,.806,34,12,5,15,1
48,eastern-washington,98,North-Dakota,82,80,.525,22,.364,8,.750,36,11,5,6,88.90,66,.455,26,.308,18,.778,35,3,3,14,0
49,Multnomah,89,eastern-washington,146,90,.367,58,.362,2,1.000,26,4,3,14,0,93,.634,26,.346,23,.826,66,8,4,12,88.90
50,Omaha,56,eastern-washington,97,63,.333,16,.188,16,.688,29,5,3,17,0,72,.542,36,.361,10,.600,45,8,5,15,88.90
51,Gonzaga,112,eastern-washington,77,73,.479,30,.400,40,.750,47,11,3,11,1,65,.446,20,.300,22,.591,30,6,2,18,50.00
52,Weber-State,77,eastern-washington,79,62,.500,19,.263,12,.833,36,6,3,14,1,64,.438,26,.385,16,.813,34,8,2,14,50.00
53,eastern-washington,69,Idaho-State,75,65,.415,24,.250,17,.529,25,7,2,9,50.00,46,.587,17,.529,21,.571,33,3,4,19,1
54,Portland-State,69,eastern-washington,71,70,.386,18,.389,14,.571,36,7,3,6,0,61,.492,25,.200,10,.600,39,3,7,12,88.90
55,eastern-washington,63,Montana,90,55,.382,14,.286,29,.586,25,8,1,14,88.90,59,.542,12,.500,23,.870,37,6,7,13,0
56,Idaho,75,eastern-washington,78,61,.459,13,.308,22,.682,37,8,1,11,1,53,.491,28,.429,21,.667,29,8,7,13,50.00
57,eastern-washington,71,Montana-State,58,54,.389,29,.276,31,.677,39,10,5,13,50.00,57,.368,17,.235,15,.800,36,10,0,17,1
58,eastern-washington,81,Southern-Utah,78,60,.467,27,.370,27,.556,33,4,8,13,88.90,67,.433,14,.357,20,.750,42,8,6,11,0
59,Northern-Colorado,84,eastern-washington,89,73,.397,32,.344,23,.652,42,4,5,8,0,74,.459,17,.412,18,.778,44,4,9,9,88.90
60,eastern-washington,59,Sacramento-State,54,51,.373,17,.412,15,.933,29,6,2,12,50.00,53,.396,15,.200,12,.750,30,7,3,11,1
61,Kansas,66,duke,68,50,.460,9,.444,26,.615,40,11,5,26,1,64,.359,24,.333,23,.609,30,11,3,16,38.50
62,Colorado-State,55,duke,89,55,.327,21,.238,22,.636,32,5,0,17,0,69,.536,22,.182,18,.611,40,12,6,9,87.50
63,duke,105,Central-Arkansas,54,74,.568,18,.500,14,.857,42,14,7,12,87.50,51,.353,15,.200,24,.625,26,4,4,21,0
64,duke,74,Georgia-State,63,73,.342,28,.250,29,.586,54,10,6,15,87.50,60,.417,12,.417,11,.727,29,11,9,16,0
65,duke,87,California,52,65,.415,27,.370,31,.742,48,5,6,9,38.50,52,.365,10,.400,14,.714,26,3,3,13,1
66,Georgetown,73,duke,81,55,.509,16,.375,18,.611,26,9,12,24,1,65,.415,13,.462,29,.724,34,8,4,21,38.50
